"ExperimentId","GeneratedAtUtc","TrajectoryId","NodeId","Day","SignalType","EntityId","PreviousDay","PreviousValue","HalfLifeDays","DecayFactor","ExpectedDecayedValue","ObservedDecayedValue"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day20_OceanDiscovery","20","BossRecencyWeight","IceDragon","14","0.088388","4","0.353553","0.03125","0.03125"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day20_OceanDiscovery","20","RegionRecentVisit","ForestRuins","14","1027.964","20","0.812252","834.9663","834.9663"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day27_SeaTurtleDefeat","27","WeaponEffectiveUse","Sword","20","247.1468","15","0.723635","178.844","178.844"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day27_SeaTurtleDefeat","27","WeaponEffectiveUse","Bow","20","595.1337","15","0.723635","430.6594","430.6594"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day27_SeaTurtleDefeat","27","BossRecencyWeight","IceDragon","20","0.03125","4","0.297302","0.009291","0.009291"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day27_SeaTurtleDefeat","27","RegionRecentVisit","ForestRuins","20","1014.966","20","0.784584","796.3264","796.3264"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day27_SeaTurtleDefeat","27","RegionRecentVisit","OceanRuins","20","240","20","0.784584","188.3002","188.3002"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day39_IceDragonRematch","39","WeaponEffectiveUse","Sword","27","178.844","15","0.574349","102.7189","102.7189"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day39_IceDragonRematch","39","WeaponEffectiveUse","Bow","27","550.6594","15","0.574349","316.2708","316.2708"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day39_IceDragonRematch","39","BossRecencyWeight","IceDragon","27","0.009291","4","0.125","0.001161","0.001161"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day39_IceDragonRematch","39","BossRecencyWeight","SeaTurtle","27","1","4","0.125","0.125","0.125"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day39_IceDragonRematch","39","RegionRecentVisit","ForestRuins","27","796.3264","20","0.659754","525.3795","525.3795"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day39_IceDragonRematch","39","RegionRecentVisit","OceanRuins","27","1188.3","20","0.659754","783.9857","783.9857"
